 ,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId,Age
631,Saeul-4,35.327,129.302,South Korea,KR,Under Construction,PWR,APR-1400,20-09-2018,,,1340,2022-12-30T01:45:43+02:00,WNA/Wikipedia/IAEA,1075,0
734,Vogtle-4,33.1399,-81.7712,United States,US,Under Construction,PWR,AP-1000,19-11-2013,,,1117,2015-05-24T04:51:58+03:00,WNA/IAEA,1043,0
777,Zhangzhou-1,23.829167,117.491667,China,CN,Under Construction,PWR,HPR1000,16-10-2019,,,1126,2021-01-09T20:00:00+02:00,WNA/IAEA/Wikipedia,1083,0
781,Barakah-4 (Braka),23.952748,52.203298,United Arab Emirates,AE,Under Construction,PWR,APR-1400,30-07-2015,,,1310,2023-08-28T08:01:45+03:00,IAEA,1053,0
784,Fangchenggang-4,21.6,108.3,China,CN,Under Construction,PWR,HPR1000,23-12-2016,,,1000,2017-02-10T23:59:38+02:00,IAEA,946,0
786,Rooppur-1,24.066667,89.047222,Bangladesh,BD,Under Construction,PWR,VVER V-523,30-11-2017,,,1080,2018-03-10T20:52:25+02:00,IAEA,1078,0
787,Kursk 2-1,51.674,35.607,Russia,RU,Under Construction,PWR,VVER V-510,28-04-2018,,,1200,2023-08-28T08:01:45+03:00,IAEA,903,0
788,Rooppur-2,24.066667,89.047222,Bangladesh,BD,Under Construction,PWR,VVER V-523,14-07-2018,,,1080,2018-10-13T22:30:35+03:00,IAEA,1079,0
789,Kursk 2-2,51.674,35.607,Russia,RU,Under Construction,PWR,VVER V-510,01-05-2019,,,1200,2023-08-28T08:01:45+03:00,IAEA,1008,0
790,Taipingling-1,22.693056,114.983333,China,CN,Under Construction,PWR,HPR1000,26-12-2019,,,1116,2020-06-06T02:41:28+03:00,IAEA,1084,0
791,Zhangzhou-2,23.829167,117.491667,China,CN,Under Construction,PWR,HPR-1000,04-09-2020,,,1126,2021-01-09T20:00:00+02:00,IAEA/Wikipedia,1090,0
792,Taipingling-2,22.693056,114.983333,China,CN,Under Construction,PWR,HPR1000,15-10-2020,,,1116,2021-01-09T17:57:48+02:00,IAEA,1091,0
793,Xiapu-1,26.803611,120.155,China,CN,Under Construction,FBR,CFR600,29-12-2017,,,642,2021-04-30T21:49:18+03:00,WNA/Wikipedia/IAEA,1101,0
794,Xiapu-2,26.803611,120.155,China,CN,Under Construction,FBR,CFR-600,27-12-2020,,,600,2021-02-14T00:09:00+02:00,WNA/Wikipedia,,0
799,Sanaocun-1,27.201487,120.517974,China,CN,Under Construction,PWR,HRP1000,31-12-2020,,,1117,2021-02-14T03:47:53+02:00,IAEA/WNA,1094,0
800,CAP1400-1,36.965556,122.52,China,CN,Under Construction,PWR,CAP1400,22-03-2013,,,1534,2021-04-20T02:47:37+03:00,IAEA/Wikipedia,1085,0
801,CAP1400-2,36.965556,122.52,China,CN,Under Construction,PWR,CAP1400,22-03-2013,,,1534,2021-04-20T02:47:37+03:00,IAEA/Wikipedia,1086,0
802,Changjiang-3,19.46075,108.899917,China,CN,Under Construction,PWR,HPR1000,31-03-2021,,,1000,2021-06-29T00:12:17+03:00,IAEA/Wikipedia,941,0
805,Xudabao-3,40.351389,120.545833,China,CN,Under Construction,PWR,VVER-1200/V491,28-07-2021,,,1200,2022-01-05T00:04:08+02:00,WNA/Wikipedia/IAEA,1104,0
806,Xudabao-4,40.351389,120.545833,China,CN,Under Construction,PWR,VVER-1200/V491,19-05-2022,,,1200,2022-09-24T22:33:57+03:00,Wikipedia/IAEA,1112,0
807,Tianwan-7,34.6828,119.456,China,CN,Under Construction,PWR,VVER-1200/V491,19-05-2021,,,1171,2022-01-05T00:04:08+02:00,WNA/Wikipedia/IAEA,1105,0
808,Tianwan-8,34.6828,119.456,China,CN,Under Construction,PWR,VVER-1200/V491,25-02-2022,,,1171,2022-04-21T20:26:19+03:00,Wikipedia/IAEA,1110,0
809,Changjiang-4,19.46075,108.899917,China,CN,Under Construction,PWR,HPR1000,28-12-2021,,,1000,2022-04-21T20:26:19+03:00,Wikipedia/IAEA,942,0
810,Changjiang SMR-1,19.46007,108.88992,China,CN,Under Construction,PWR,ACP100,13-07-2021,,,100,2022-04-21T20:26:19+03:00,WNA/IAEA,1111,0
815,BREST-OD-300,56.637414,84.90451,Russia,RU,Under Construction,FBR,BREST-OD-300,08-06-2021,,,300,2022-01-05T00:04:08+02:00,IAEA/WNA,1106,0
816,Sanaocun-2,27.201487,120.517974,China,CN,Under Construction,PWR,HRP1000,30-12-2021,,,1117,2022-04-21T20:26:19+03:00,IAEA,1107,0
817,El Dabaa-2,31.044167,28.497778,Egypt,EG,Under Construction,PWR,VVER-1200,19-11-2022,,,1100,2023-08-28T08:01:45+03:00,IAEA/Wikipedia,138,0
818,El Dabaa-3,31.044167,28.497778,Egypt,EG,Under Construction,PWR,VVER-1200,03-05-2023,,,1100,2023-08-28T08:24:00+03:00,IAEA/Wikipedia,1120,0
819,Lufeng-5,,,China,CN,Under Construction,PWR,HPR1000,08-09-2022,,,1116,2023-08-28T08:01:45+03:00,IAEA,1113,0
168,Darkhovin,30.707778,48.38,Iran,IR,Unknown,PWR,,,,,,,Wikipedia,,0
